Store,Total_Sales,Avg_Weekly_Sales,Std_Weekly_Sales,Size,Type,Avg_Markdown,Holiday_Sales_Avg,NonHoliday_Sales_Avg,Avg_CPI,Avg_Unemployment,Sales_Volatility_CV,Holiday_Surge_Factor,Sales_Per_SqFt,Markdown_Reliance,Cluster,PCA1,PCA2,Cluster_Rank,Cluster_Persona
11,193962786.8,19276.762750944148,20391.897906810933,207499,A,8078.519415623136,20486.48493635078,19185.338530197754,219.42586008023255,7.1743737825482015,1.057848673570056,1.067819829888684,934.7649232044492,0.4190807095468691,2,-1.6673882016295836,0.5256022885489923,0,Flagship Megastores (High Volume / Scale)
12,144287230.15,14867.308619268419,17967.248877739352,112238,B,9638.695572385368,16663.842166910687,14731.304139880294,128.68969150253477,13.110471818650181,1.2085071574052972,1.131185806590389,1285.5470531370838,0.6483147564052192,0,-1.1893264319513444,-1.0891224602648093,1,Suburban High-Efficiency Outlets
13,286517703.8,27355.136891350012,33853.47463805783,219622,A,11217.98678250907,28593.28560216509,27261.14696866975,128.67421433683407,7.004905098338744,1.2375545687275527,1.0488658318205637,1304.5947300361531,0.4100870276381416,2,-1.304194222592552,1.8099433219675665,0,Flagship Megastores (High Volume / Scale)
14,288999911.34,28784.85172709163,36911.11674383079,200898,A,10027.244089641434,30164.76526315789,28680.95548463104,186.28784981125497,8.649211653386455,1.282310469888261,1.0517350186887817,1438.5405098109486,0.34835142390955975,2,-0.8846261594299064,2.0909860658243757,0,Flagship Megastores (High Volume / Scale)
15,89133683.92,9002.493073426927,11362.009143331956,123737,B,4887.97403090597,10077.11865905849,8920.611276086958,135.09456963278456,7.995937582062418,1.2620958495230306,1.1296444084247095,720.3478662000857,0.5429578213066832,0,-1.0147719694424655,-2.0130366117506777,1,Suburban High-Efficiency Outlets
16,74252425.4,7863.224123689506,10491.36926904321,57197,B,3456.910445832892,8421.00514115899,7820.420631698974,193.7457909417558,6.470401673197077,1.3342325112463604,1.0767969559409198,1298.187411927199,0.43963015514488124,0,0.8384638354865139,-1.1134523049489202,1,Suburban High-Efficiency Outlets
17,127782138.83,12954.3936364558,16299.024131299111,93188,B,5550.621004663423,14179.406237337194,12862.113716341437,128.69841028928428,6.547021897810219,1.2581850288562306,1.1024164876024973,1371.2295448984848,0.428474010914592,0,0.029321364671569254,-0.5341504950140907,1,Suburban High-Efficiency Outlets
18,155114734.21,15733.313136220713,18556.351563660013,120653,B,7848.155762247692,16948.147260869566,15641.89252917439,135.10867884898065,8.834348615478243,1.1794306388614484,1.0835100176288592,1285.62683240367,0.4988240994957182,0,-0.6059093419370998,-0.201400479058229,1,Suburban High-Efficiency Outlets
19,206634862.1,20362.126734331887,24281.125431128552,203819,A,9409.397942451715,22056.597678321676,20233.689680907453,135.08713003175995,7.996612337406386,1.192465096987584,1.0900927124642716,1013.8155034614044,0.46210290607639826,2,-1.6120874016151827,0.32031367678437983,0,Flagship Megastores (High Volume / Scale)
20,301397792.46,29508.30159193264,35661.53062041067,203742,A,10948.469103191697,31106.985905947444,29386.51792751027,209.04786308029173,7.370847366359899,1.208525353765541,1.0585461663779188,1479.311052507583,0.3710301341936477,2,-1.1879778719985317,2.1578506198147327,0,Flagship Megastores (High Volume / Scale)
21,108117878.92,11283.435495721144,13030.32085896128,140167,B,6962.435784804842,12335.691179104477,11204.32740462298,215.66470548953245,7.620940722187435,1.154818571338719,1.100975607246619,771.3504528169968,0.6170492826652498,0,-1.4343269591775523,-1.5215582820735292,1,Suburban High-Efficiency Outlets
22,147075648.57,15181.218886251032,18430.6625847963,119557,B,9139.498203963667,15954.039058823528,15122.879885657192,139.01469474843105,8.067909165978529,1.2140436629556899,1.0549603758610169,1230.1717889374943,0.6020266400493471,0,-0.5915691094038662,-0.3405517237723349,1,Suburban High-Efficiency Outlets
23,198750617.85,19776.180880597014,20897.07655224597,114533,B,7340.367533333334,20774.748494318184,19700.962434196448,135.0993108037811,4.794435820895522,1.0566790766334817,1.0545042432908172,1735.3131224188662,0.3711721476426958,2,-0.12910709204521506,1.2907640154300328,0,Flagship Megastores (High Volume / Scale)
24,194016021.28,18969.106499804457,23332.133357366827,203819,A,9232.250349041846,20459.060346740636,18856.11010518565,135.09602085731325,8.447333105201409,1.2300069777987355,1.0850095922097984,951.9035088976003,0.4866992730664475,2,-1.5333306350313625,0.0839529023394136,0,Flagship Megastores (High Volume / Scale)
25,101061179.17,10308.157810077519,12499.150431327906,128107,B,7076.724968380253,10704.440549927642,10278.109376714583,209.04530649391066,7.370752141982865,1.2125493867690322,1.0414795316115366,788.8810070487951,0.6865169404562953,0,-0.8821885141646424,-1.3402045031380179,1,Suburban High-Efficiency Outlets
26,143416393.79,14554.129672214329,20109.50446094542,152513,A,5342.866407550233,15380.873012912481,14491.200753521896,135.10847991557742,7.869505784453014,1.381704362531344,1.0613939634064087,940.3552076872135,0.3671031194726407,0,-0.09150797315661742,-0.20579012169619104,1,Suburban High-Efficiency Outlets
27,253855916.88,24826.98453594132,29718.91909463844,204184,A,10776.321627383863,26318.48787204451,24714.172533136963,139.01707057646945,8.001492224938875,1.1970410281448078,1.0649147903336564,1243.270368295263,0.43405680651400574,2,-1.3830111215702672,1.2696177806252515,0,Flagship Megastores (High Volume / Scale)
28,189263680.58,18714.889803223574,22440.041481547934,206302,A,8882.5426619203,20645.87437150838,18567.759341279136,128.6822138270345,13.116094136260259,1.1990474813099201,1.1119206136246096,917.4107889404854,0.4746243633047773,2,-1.808213660883982,-0.14796333453852478,0,Flagship Megastores (High Volume / Scale)
29,77141554.31,8158.810609201481,10219.308122307173,93638,B,4204.981692226335,9086.195943113771,8088.309482189597,135.09205899162347,9.806653833950291,1.2525487613086481,1.1233739203337576,823.8274451611526,0.515391506003345,0,-0.5611403226827748,-1.991998808290211,1,Suburban High-Efficiency Outlets
30,62716885.12,8764.237719396311,14364.314622075943,42988,C,908.1405254332028,8772.275240963856,8763.636534995494,215.6696686684181,7.62345108999441,1.6389690788836078,1.0009857432954925,1458.939357960361,0.10361888317876065,1,3.174349423788061,0.3022082378246111,2,Compact Community & Value Stores
31,199613905.5,19681.907464011045,26841.56403782536,203750,A,8477.630210017749,20950.084217877094,19585.57661786548,215.63880620015775,7.625046539144153,1.3637684298082369,1.0696690026511781,979.7001496932515,0.43073214429099554,2,-0.9823089655528275,0.35000140288844694,0,Flagship Megastores (High Volume / Scale)
32,166819246.16,16351.621854538325,20899.324703613187,203007,A,8237.797845520487,16789.178284518828,16318.5456331049,193.65466121466378,8.586909723583611,1.2781193749177038,1.0288403545087232,821.7413496086342,0.5037908724752103,2,-1.0096105643692452,0.09720833180267527,0,Flagship Megastores (High Volume / Scale)
33,37160221.96,5728.4140527208265,8973.688840108382,39690,A,769.3041930013874,5796.788498896248,5723.280870069605,128.73682556420533,8.501254046554648,1.5665223842969498,1.012843615465846,936.2615762156714,0.13429619168206405,1,2.6128391221946887,-0.7380274222624322,2,Compact Community & Value Stores
34,138249763.0,13522.08167057903,16085.334848199644,158114,A,4873.879357394366,14573.120125874128,13443.052067514984,128.6635194727406,9.937437597809078,1.1895605454889147,1.0840633542028235,874.3676271550906,0.3604385384237423,0,-0.7201051500979302,-0.39748095703817926,1,Suburban High-Efficiency Outlets
35,131520672.08,13803.59698572628,18312.46314873497,103681,B,8481.230959277918,16083.060733532935,13631.73673927765,139.02133169371328,8.788422439126784,1.3266442918951573,1.179824774299957,1268.5127658876747,0.6144218033823926,0,-1.0979225608649135,-1.6614899276165938,1,Suburban High-Efficiency Outlets
36,53412214.97,8584.41256348441,12995.813450951362,39910,A,661.8693908711026,8412.829061784898,8597.374013828867,214.7963759166024,7.860289938926391,1.5138850043428442,0.9785347291472402,1338.316586569782,0.07710130253006352,1,3.0736833559883583,0.460097284630436,2,Compact Community & Value Stores
37,74202740.32,10297.355026366915,16295.492637803965,39910,C,674.0741076880377,10170.84268537074,10306.767529446848,214.87286530036081,7.848849153483209,1.5824930378799706,0.9868120772535244,1859.251824605362,0.06546089799831381,1,3.513142644814537,1.152269180184313,2,Compact Community & Value Stores
38,55159626.42,7492.478459657702,12733.35627289605,39690,C,793.8484474327628,7480.585843137255,7493.363636894337,128.72863226911164,13.08628959521869,1.6994852025877936,0.9982947839769691,1389.7613106575964,0.10595271653400297,1,3.359269576848051,0.0665565446276955,2,Compact Community & Value Stores
39,207445542.47,21000.763562462038,25373.751512392548,184109,A,12533.488952217049,22254.33974175036,20905.59499727699,214.723961570986,7.869864547479247,1.2082299501598617,1.0645159697202538,1126.7539472269145,0.5968111068424202,2,-1.5304700924113892,0.3105005248767729,0,Flagship Megastores (High Volume / Scale)
40,137870309.79,13763.6328032345,17729.598681762538,155083,A,5653.244692023561,14197.663028169014,13730.522084452563,135.10525951598282,4.793243885394829,1.2881481898874854,1.0340220809160043,889.0098191935931,0.41073783126411584,0,-0.22961634413377494,-0.12990186959389874,1,Suburban High-Efficiency Outlets
41,181341934.89,17976.004648096747,22836.25556544859,196321,A,7990.448614195084,18775.637918424756,17915.373395542283,193.69906710946668,6.969444389373513,1.2703743691936815,1.0480182295623457,923.7011572373816,0.4445063720316755,2,-0.965470861943118,0.30859728050164564,0,Flagship Megastores (High Volume / Scale)
42,79565752.43,11443.370117934706,18258.5315738063,39690,C,687.1262462246513,11680.94975308642,11425.51582650379,128.74937528583345,8.332511146267798,1.595555451377954,1.0223564450163847,2004.6800813807006,0.06004579407488443,1,3.3446203414247737,1.1299112462049214,2,Compact Community & Value Stores
43,90565435.41,13415.114117908457,20810.915093282896,41062,C,641.9154436379796,13473.43809322034,13410.729834368532,207.72880465510295,9.933301733076581,1.5513036199596275,1.0046759758476635,2205.57779479811,0.04785016642553605,1,3.4587360265731,1.7619743868841957,2,Compact Community & Value Stores
44,43293087.84,6038.929814479007,10609.468795390445,39910,C,541.4373845724648,5932.577174348698,6046.886331334333,128.72084458761333,6.713258752964151,1.7568458520503187,0.9810961938867184,1084.7679238286146,0.0896578367871953,1,3.496016029961376,-0.2843434903984884,2,Compact Community & Value Stores
45,112395341.42,11662.897314516966,14075.51594901563,118221,B,6989.164368579433,12298.436955882351,11614.648240482305,186.29922615060704,8.648434678841962,1.2068627176795637,1.0588729585824221,950.7223033132861,0.5992648459561826,0,-0.6616678726605246,-1.0183119760174713,1,Suburban High-Efficiency Outlets
